City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Oytal,100,KZ,1559412033,54,42.91,73.27,70.25,14.52
Fatehabad,20,IN,1559412033,26,27.03,78.3,93.2,4.7
San Zenon,100,CO,1559412034,68,9.24,-74.5,87.17,5.44
Wamba,100,CD,1559412034,93,2.14,27.99,72.23,3.65
Lodja,98,CD,1559412034,91,-3.52,23.6,72.95,1.99
Bhan,0,PK,1559412035,16,26.56,67.72,106.43,12.95
Ekpoma,87,NG,1559412035,91,6.74,6.14,76.91,5.68
Lalsk,54,RU,1559412035,63,60.74,47.59,51.89,4.56
Dukat,5,RS,1559412035,81,42.44,22.31,54.95,5.17
Toamasina,40,MG,1559412036,94,-18.17,49.38,71.6,5.82
Gawler,75,AU,1559412036,76,-34.6,138.75,55.0,5.82
Ruteng,66,ID,1559412036,83,-8.61,120.46,74.03,3.83
Klyuchi,47,RU,1559412037,67,52.25,79.17,54.05,10.6
Kiruna,69,SE,1559412037,45,67.86,20.23,46.4,13.87
Vagur,100,FO,1559412037,93,61.47,-6.81,45.41,21.3
Mach,0,PK,1559412037,20,29.87,67.33,76.91,8.55
Lagos,40,NG,1559412038,78,6.46,3.39,82.4,6.93
Andrews,1,US,1559412038,54,32.32,-102.55,86.0,13.87
Tasiilaq,20,GL,1559412038,74,65.61,-37.64,35.6,5.82
Dakar,0,SN,1559411513,54,14.69,-17.45,80.6,18.34
Rabo de Peixe,75,PT,1559412039,94,37.8,-25.58,68.0,6.93
Esil,20,KZ,1559412039,62,51.96,66.41,68.09,6.46
Sao Joao da Barra,0,BR,1559412039,62,-21.64,-41.05,86.0,9.17
Sudak,100,UA,1559412039,79,44.85,34.97,69.89,3.42
Talcahuano,90,CL,1559412040,93,-36.72,-73.12,57.2,16.11
Jipijapa,40,EC,1559412040,66,-1.35,-80.58,84.2,10.29
Miyako,100,JP,1559412040,77,33.63,130.94,69.8,1.12
Grootfontein,17,NA,1559412040,27,-19.56,18.1,64.85,3.94
Viedma,42,AR,1559412041,46,-40.81,-62.99,62.15,17.27
Pacific Grove,20,US,1559411754,77,36.62,-121.92,62.6,6.93
Alzenau,0,DE,1559412041,37,50.08,9.07,86.0,3.36
Davila,86,PH,1559412042,74,18.47,120.58,84.47,5.66
Massakory,36,TD,1559412042,37,13.0,15.73,91.67,11.05
San Juan,75,PR,1559412011,65,18.47,-66.12,87.01,13.87
Ulagan,100,RU,1559412044,92,50.63,87.96,41.45,6.46
Bonthe,70,SL,1559412044,73,7.53,-12.5,83.21,9.82
Gambela,96,ET,1559412045,79,8.25,34.59,70.97,3.65
Zhigansk,89,RU,1559412045,65,66.77,123.37,50.63,3.13
Timizart,0,DZ,1559412045,72,36.8,4.25,68.09,17.02
Punta Alta,90,AR,1559412045,77,-27.46,-55.82,68.0,2.24
Ketchikan,75,US,1559412046,71,55.34,-131.65,53.6,13.87
Jalu,100,LY,1559412046,23,29.03,21.55,91.31,20.2
Salto,99,UY,1559412046,66,-31.39,-57.96,69.01,1.99
Huarmey,100,PE,1559412047,88,-10.07,-78.15,63.59,16.49
Port Lincoln,21,AU,1559412047,71,-34.72,135.86,59.27,6.44
Arbazh,100,RU,1559412047,81,57.68,48.31,57.47,5.73
Hundorp,25,NO,1559412048,88,61.55,9.94,46.0,5.48
Prince Rupert,90,CA,1559412048,87,54.32,-130.32,51.8,8.05
Corbelia,90,BR,1559412048,78,-24.8,-53.31,71.6,12.75
Vostok,27,RU,1559412049,97,46.45,135.83,44.33,4.56
Sao Joao da Ponte,0,BR,1559412049,32,-15.93,-44.01,90.59,2.08
Portsmouth,0,GB,1559412050,60,50.8,-1.08,75.99,4.7
Emerald,90,AU,1559412051,58,-23.53,148.16,57.2,6.93
Kargil,69,PK,1559412051,43,34.56,76.13,45.41,4.63
Mount Gambier,75,AU,1559412051,100,-37.83,140.78,48.2,6.93
Svetlogorsk,40,RU,1559412052,56,53.14,59.15,68.0,6.71
Spencer,1,US,1559412052,68,43.14,-95.14,71.6,11.41
Kozulka,0,UA,1559412052,60,50.04,23.8,69.8,6.71
Golden,20,CA,1559412053,49,51.3,-116.96,69.8,5.82
Wajima,100,JP,1559412053,78,37.4,136.9,65.03,5.35
Port Blair,100,IN,1559412053,75,11.67,92.75,85.55,7.99
Tefe,40,BR,1559412054,70,-3.35,-64.71,86.0,5.82
Narasannapeta,95,IN,1559412054,80,18.42,84.04,85.55,5.82
Hay River,75,CA,1559412054,43,60.82,-115.79,55.4,20.8
Merauke,88,ID,1559412055,81,-8.49,140.4,81.41,25.84
Ahipara,84,NZ,1559412055,65,-35.17,173.16,57.83,27.4
Paamiut,95,GL,1559412055,95,61.99,-49.67,35.33,7.87
Alofi,0,NU,1559412055,100,-19.06,-169.92,59.0,1.12
Alcantara,79,PH,1559412056,88,9.97,123.41,74.39,5.57
Kasese,64,UG,1559412056,61,0.17,30.09,70.43,2.89
Avera,40,US,1559412056,31,33.19,-82.53,93.99,8.05
Iranshahr,20,IR,1559412057,12,27.21,60.69,98.6,4.7
Ust-Koksa,38,RU,1559412057,90,50.27,85.62,41.63,7.49
Santa Maria,90,BR,1559412058,88,-29.69,-53.81,62.6,9.17
Mandurah,0,AU,1559412058,65,-32.55,115.7,59.0,5.82
Moose Factory,90,CA,1559412059,93,51.26,-80.61,42.8,10.29
Medea,0,DZ,1559412059,56,36.27,2.77,73.4,16.11
Fukue,75,JP,1559412059,82,35.03,136.69,68.0,4.7
Plaster Rock,40,CA,1559412060,34,46.91,-67.4,66.99,6.78
Lasem,64,ID,1559412060,75,-6.99,112.52,77.99,3.8
Purpe,64,RU,1559412060,88,64.48,76.69,34.0,5.23
Borogontsy,1,RU,1559412060,90,62.67,131.17,42.17,4.41
Andi,100,CN,1559412061,96,28.97,119.64,65.93,0.81
Santiago de Cao,0,PE,1559412061,77,-7.96,-79.24,69.8,11.41
Nouadhibou,0,MR,1559412061,68,20.93,-17.03,71.6,18.34
Wuda,4,CN,1559412062,15,39.5,106.72,69.71,12.3
Mujiayingzi,5,CN,1559412062,65,42.12,118.78,54.59,9.93
Ponnani,40,IN,1559412062,79,10.77,75.93,86.0,1.12
Hobe Sound,75,US,1559412062,66,27.06,-80.14,95.0,9.17
Sinnamary,100,GF,1559412063,78,5.38,-52.96,82.31,12.62
Ovsyanka,13,RU,1559412063,86,53.58,126.91,43.07,2.62
Lujan,100,AR,1559412063,81,-46.57,-67.67,47.75,13.2
Gravdal,75,NO,1559412064,71,59.79,5.78,53.01,2.24
Wasilla,90,US,1559412045,81,61.58,-149.44,52.0,5.55
Songea,20,TZ,1559412064,72,-10.68,35.65,64.4,3.36
Kununurra,7,AU,1559412017,28,-15.77,128.74,68.0,14.99
Brookings,1,US,1559411806,59,44.31,-96.8,68.0,14.99
Kenai,75,US,1559412011,76,60.55,-151.26,55.0,9.17
Upington,0,ZA,1559412065,36,-28.46,21.24,62.6,5.82
Barreiras,16,BR,1559412066,37,-12.14,-45.0,87.35,4.34
Victoria,75,BN,1559412066,94,5.28,115.24,82.4,2.8
Alyangula,90,AU,1559412066,53,-13.85,136.42,75.2,9.17
Thinadhoo,86,MV,1559412067,75,0.53,72.93,84.47,10.76
Valparaiso,40,US,1559412067,61,41.47,-87.06,86.0,8.05
Florence,40,US,1559411949,44,34.8,-87.68,84.99,5.82
Llangefni,80,GB,1559412068,72,53.26,-4.31,62.6,3.36
Kampot,20,KH,1559412068,88,10.62,104.18,80.6,6.46
Ati,68,TD,1559412068,23,13.21,18.34,100.49,3.62
Khorinsk,88,RU,1559412068,89,52.16,109.78,42.71,4.92
Povenets,93,RU,1559412069,52,62.85,34.83,54.05,6.08
Chadiza,15,ZM,1559412069,63,-14.06,32.43,57.47,5.44
Ngunguru,2,NZ,1559412069,94,-35.62,174.5,45.0,17.25
Alta Floresta,75,BR,1559412043,52,-9.87,-56.08,91.4,4.03
Nara,97,JP,1559412070,72,34.68,135.8,68.0,6.93
Shaowu,100,CN,1559412070,98,27.34,117.49,67.01,0.65
Dhidhdhoo,91,MV,1559412070,74,6.88,73.1,85.55,9.98
Hearst,0,CA,1559412017,22,49.69,-83.67,64.31,3.71
Bulgan,18,MN,1559412071,80,48.81,103.53,40.55,1.36
Micheweni,0,TZ,1559412071,70,-4.97,39.83,81.95,17.67
Bayan,80,MN,1559412071,78,47.25,107.54,43.07,18.81
Khuzdar,10,PK,1559412072,16,27.8,66.62,85.73,8.79
Quelimane,40,MZ,1559412072,78,-17.88,36.89,73.4,5.82
Bilibino,93,RU,1559412072,96,68.06,166.44,34.25,5.12
Los Llanos de Aridane,0,ES,1559412073,73,28.66,-17.92,71.6,14.99
Marrakesh,40,MA,1559412073,11,31.63,-7.99,102.2,14.99
Biak,99,ID,1559412073,99,-0.91,122.88,66.47,2.98
Rosetown,9,CA,1559412073,33,51.55,-107.99,72.0,1.99
Port Hedland,0,AU,1559412074,30,-20.31,118.58,53.6,8.05
Moses Lake,1,US,1559411880,37,47.13,-119.28,81.0,3.36
Rome,40,IT,1559411996,60,41.89,12.48,75.2,6.93
Marsa Matruh,40,EG,1559412024,83,31.35,27.25,73.4,10.29
Puerto Colombia,40,CO,1559412075,70,10.99,-74.96,87.8,9.17
Quesnel,90,CA,1559412075,42,52.98,-122.49,68.0,4.7
Grand Island,1,US,1559412008,56,40.92,-98.34,73.99,14.99
Pangnirtung,20,CA,1559412075,42,66.15,-65.72,46.4,13.87
Honiara,62,SB,1559412076,78,-9.43,159.96,82.49,16.98
Payson,90,US,1559411847,59,40.04,-111.73,71.01,7.25
Kahului,20,US,1559411945,64,20.89,-156.47,75.99,14.83
Havelock,75,US,1559412076,61,34.88,-76.9,82.0,4.7
Senanga,0,ZM,1559412077,29,-16.1,23.3,65.21,3.76
Abhar,0,IR,1559412077,45,36.14,49.22,55.85,3.47
Alexandria,20,US,1559411893,52,31.31,-92.44,90.0,5.82
Eregli,53,TR,1559412077,30,37.51,34.05,74.75,3.42
Sabha,1,LY,1559412078,26,27.03,14.43,89.51,14.58
Shimoda,92,JP,1559412078,71,34.7,138.93,66.29,3.2
Chanika,56,MW,1559412078,67,-12.93,34.19,58.55,3.38
Pidhaytsi,75,UA,1559412079,60,49.27,25.13,69.8,4.47
At-Bashi,100,KG,1559412079,64,41.17,75.81,53.51,2.13
Vitim,37,RU,1559412079,52,59.44,112.57,47.93,2.8
Atambua,77,ID,1559412079,73,-9.11,124.89,81.23,21.94
Bonavista,97,CA,1559412080,86,48.65,-53.11,37.99,3.0
Pandan,73,PH,1559412080,79,11.72,122.09,85.37,15.21
Dubbo,0,AU,1559412080,87,-32.25,148.6,46.4,11.41
Jieshi,99,CN,1559412081,84,22.82,115.83,78.89,3.29
Camacha,0,PT,1559412081,64,33.08,-16.33,86.0,18.34
Matara,0,PE,1559412081,41,-13.74,-72.9,59.0,6.93
Sunland Park,20,US,1559412082,37,31.8,-106.58,88.0,10.29
Tarpon Springs,90,US,1559412082,55,28.15,-82.76,96.01,9.17
Horsham,18,AU,1559412082,95,-36.71,142.2,45.59,3.31
San Policarpo,70,PH,1559412082,79,12.18,125.51,84.65,10.11
Yumen,1,CN,1559412083,15,40.29,97.04,69.71,6.4
Benjamin Constant,73,BR,1559412083,48,-4.38,-70.03,93.47,2.8
Aitape,78,PG,1559412084,76,-3.15,142.36,81.41,9.62
Ridgecrest,1,US,1559412084,22,35.62,-117.67,82.99,4.7
Road Town,40,VG,1559412084,66,18.42,-64.62,84.2,16.11
Sabaudia,40,IT,1559412084,60,41.3,13.03,71.6,6.93
Beringovskiy,79,RU,1559412085,74,63.05,179.32,41.45,3.29
Komsomolskiy,98,RU,1559412085,85,67.55,63.78,34.43,13.73
Bontang,100,ID,1559412086,97,0.12,117.47,73.67,1.23
Vung Tau,80,VN,1559412086,72,10.35,107.08,85.37,7.27
Trairi,63,BR,1559412086,74,-3.28,-39.27,83.21,7.09
North Myrtle Beach,40,US,1559412086,47,33.83,-78.68,87.01,3.36
Lensk,1,RU,1559412087,60,60.71,114.91,48.65,3.02
Krasnoturansk,40,RU,1559412087,93,54.32,91.57,53.6,2.24
Cotonou,20,BJ,1559412087,83,6.37,2.43,82.4,8.05
Pemba,40,MZ,1559412088,83,-12.97,40.52,77.0,8.05
Taltal,0,CL,1559412088,51,-25.41,-70.49,67.01,8.95
Alamos,0,AR,1559412088,55,-36.9,-62.36,61.43,8.9
Beboto,50,TD,1559412088,41,8.27,16.94,90.77,2.84
Kolokani,61,ML,1559412089,14,13.58,-8.03,103.73,5.12
Olinda,40,EC,1559412089,62,-2.03,-79.75,89.01,3.36
Kalianget,76,ID,1559412089,92,-7.35,109.91,70.43,1.79
Padang,100,ID,1559412089,77,-0.92,100.36,81.23,2.53
New Richmond,1,CA,1559412090,38,48.17,-65.87,59.0,10.29
Yumbe,99,UG,1559412090,92,3.47,31.25,66.11,5.3
Sulat,87,PH,1559412090,99,11.81,125.45,74.75,2.82
Cabedelo,40,BR,1559412091,62,-6.97,-34.84,86.0,9.17
Halifax,40,CA,1559412091,34,44.65,-63.58,72.0,14.99
Vathi,40,GR,1559412091,56,35.36,23.6,71.6,12.75
Charters Towers,97,AU,1559412092,75,-20.07,146.27,57.29,12.86
Dawlatabad,14,AF,1559412092,32,36.41,64.91,78.35,11.81
Houma,0,CN,1559412092,32,35.63,111.36,69.17,4.23
Lobito,69,AO,1559412092,78,-12.35,13.55,72.23,5.35
Ayr,40,GB,1559412093,77,55.46,-4.63,64.0,12.75
Opuwo,0,NA,1559411815,24,-18.06,13.84,72.41,6.85
Bredy,79,RU,1559412093,68,52.43,60.33,68.45,7.7
Flin Flon,20,CA,1559412094,39,54.77,-101.88,50.0,8.05
Van Wert,1,US,1559412094,54,40.86,-84.58,82.99,9.17
Spearfish,1,US,1559411880,52,44.49,-103.86,66.99,4.7
Kapuskasing,75,CA,1559412094,40,49.42,-82.43,53.6,9.17
Sabla,99,NG,1559412095,43,12.75,4.71,91.85,8.72
Rosa Zarate,100,EC,1559412095,62,0.33,-79.47,85.37,3.67
Howard Springs,40,AU,1559412095,40,-12.5,131.05,73.4,8.05
College,90,US,1559412096,93,64.86,-147.8,54.0,19.46
Tual,36,ID,1559412096,81,-5.67,132.75,82.67,19.82
Inirida,98,CO,1559412096,50,3.87,-67.92,91.85,3.71
Galle,75,US,1559412097,62,29.74,-97.91,90.0,8.05
Leninskoye,0,RU,1559412097,81,54.82,82.85,42.8,2.24
Nchelenge,63,ZM,1559412097,54,-9.35,28.74,70.25,6.02
Whitehorse,90,CA,1559411947,57,60.72,-135.06,52.0,3.36
Smoky Lake,87,CA,1559412098,54,54.11,-112.47,72.0,5.01
Rio Grande,75,BR,1559412007,60,-32.03,-52.1,68.0,4.7
Sabang,75,PH,1559412098,78,13.72,123.58,84.47,8.95
San Carlos de Bariloche,75,AR,1559412098,81,-41.13,-71.31,44.6,25.28
Mocuba,1,MZ,1559412099,95,-16.84,36.99,64.13,3.6
Jiexiu,0,CN,1559412099,20,37.02,111.92,68.45,5.73
Belmonte,14,PT,1559412099,28,40.36,-7.35,86.0,3.0
Palana,88,RU,1559412100,89,59.08,159.95,43.97,6.58
Lingao,100,CN,1559412100,79,19.91,109.69,82.85,7.11
Mazatlan,90,MX,1559411886,78,23.22,-106.42,82.99,5.82
Zelenoborskiy,97,RU,1559412101,49,66.84,32.36,49.37,9.42
Sola,90,FI,1559412101,50,62.78,29.36,57.2,8.05
Tabou,100,CI,1559412101,97,4.42,-7.36,74.21,3.44
Cosenza,40,IT,1559412101,72,39.31,16.25,66.2,11.41
Praia da Vitoria,75,PT,1559412102,69,38.73,-27.07,77.0,14.85
Lorengau,100,PG,1559412102,89,-2.02,147.27,78.71,6.71
Antofagasta,40,CL,1559411898,72,-23.65,-70.4,70.0,10.29
Meulaboh,100,ID,1559412102,78,4.14,96.13,81.77,7.0
Nizwa,0,OM,1559412103,10,22.93,57.53,90.77,1.68
Bako,40,NG,1559412103,70,9.68,6.4,84.2,11.41
Springdale,1,US,1559412009,54,36.19,-94.13,86.0,6.93
Bubaque,9,GW,1559412104,79,11.28,-15.83,79.61,13.18
Tautira,75,PF,1559412104,73,-17.73,-149.15,77.0,1.12
Blythe,1,US,1559412104,18,33.61,-114.59,90.0,5.82
Visby,0,SE,1559412105,77,57.64,18.3,61.0,14.99
Novyye Gorki,13,RU,1559412105,80,56.73,41.06,55.49,4.05
Tubuala,75,PA,1559412105,100,9.52,-79.03,75.2,9.17
Suez,3,EG,1559412105,30,29.97,32.54,83.39,12.46
El Chimbo,75,HN,1559412106,42,14.13,-87.12,86.0,4.7
Chulumani,15,BO,1559412106,36,-16.41,-67.53,51.35,2.66
Kavaratti,94,IN,1559412107,68,10.57,72.64,86.63,2.59
Fergus Falls,1,US,1559412107,34,46.28,-96.08,64.4,11.41
Taksimo,0,RU,1559412107,61,56.36,114.84,38.93,2.84
Yinchuan,81,CN,1559412107,12,38.48,106.21,68.0,1.99
Yurga,56,RU,1559412108,66,55.71,84.93,44.33,3.62
Marica,20,BR,1559412108,78,-22.92,-42.82,87.8,13.87
Vao,100,EE,1559412108,64,59.1,26.19,56.21,7.07
Cartagena,0,ES,1559412108,56,37.63,-1.0,80.6,10.29
Dyersburg,1,US,1559412109,48,36.03,-89.39,86.0,9.17
Mathathane,0,BW,1559412109,51,-22.27,28.75,60.89,4.07
Apiai,87,BR,1559412109,98,-24.51,-48.84,65.75,1.95
Parana,75,BR,1559412110,66,-7.52,-72.89,87.8,1.74
Vysokogornyy,97,RU,1559412110,98,50.1,139.13,42.89,4.72
San Jose,96,PH,1559411841,75,15.79,120.99,82.13,2.28
